,iot Car,ICRS,9,17,5.4068572,-59,16,30.835305,-18.86,11.98,12,4.26,2.26
,bet Cas,ICRS,0,9,10.68518,59,8,59.212,523.5,-179.77,4.3,59.58,2.27
,alf Lup,ICRS,14,41,55.7557866,-47,23,17.515486,-20.94,-23.67,5.4,7.02,2.286
,eps Sco,ICRS,16,50,9.8108127,-34,17,35.633735,-614.85,-255.98,-2.5,51.19,2.29
,eps Cen,ICRS,13,39,53.25774,-53,27,59.0081,-15.3,-11.72,3,7.63,2.3
,eta Cen,ICRS,14,35,30.424161,-42,9,28.170782,-34.73,-32.72,0,10.67,2.31
,del Sco,ICRS,16,0,20.00528,-22,37,18.1431,-10.21,-35.41,-6,6.64,2.32
,bet UMa,ICRS,11,1,50.476537,56,22,56.733912,81.43,33.49,-13.1,40.9,2.37
,gam Leo,ICRS,10,19,58.35056,19,50,29.3468,304.3,-154.28,-36.24,25.07,2.37
,alf Phe,ICRS,0,26,17.0514,-42,18,21.5539,233.05,-356.3,74.6,38.5,2.38
,kap Sco,ICRS,17,42,29.2752,-39,1,47.9391,-6.05,-25.54,-14,6.75,2.386
,eps Peg,ICRS,21,44,11.1561394,9,52,30.031152,26.92,0.44,3.39,4.73,2.39
,eps Boo,ICRS,14,44,59.21746,27,4,27.2099,-50.95,21.07,-16.31,16.1,2.39
,gam Cas,ICRS,0,56,42.5317,60,43,0.265,25.65,-3.82,-6.8,5.32,2.39
,del Ori,ICRS,5,32,0.40009,0,17,56.7424,0.64,-0.69,18.5,4.71,2.41
,bet Peg,ICRS,23,3,46.45746,28,4,58.0336,187.65,136.93,7.99,16.64,2.42
,eta Oph,ICRS,17,10,22.68689,-15,43,29.6639,40.13,99.17,-2.4,36.91,2.42
,gam UMa,ICRS,11,53,49.8473166,53,41,41.135025,107.68,11.01,-11.9,39.21,2.44
,eta CMa,ICRS,7,24,5.70228,-29,18,11.1798,-4.14,5.81,41.1,1.64,2.45
,eps Boo A,ICRS,14,44,59.223146,27,4,27.14599,-42.2,13.6,-16.6,16.2,2.45
,alf Cep,ICRS,21,18,34.77233,62,35,8.0681,150.55,49.09,-15.8,66.5,2.46
,eta Oph A,ICRS,17,10,22.664064,-15,43,30.51408,NA,NA,NA,NA,2.463
,kap Vel,ICRS,9,22,6.81761,-55,0,38.401683,-11.4,11.52,21.9,5.7,2.473
,eps Cyg,ICRS,20,46,12.6823609,33,58,12.924926,355.66,330.6,-12.6,44.86,2.48
,alf Peg,ICRS,23,4,45.65345,15,12,18.9617,60.4,-41.3,-2.7,24.46,2.48
,bet Sco,ICRS,16,5,26.23,-19,48,19.4,NA,NA,NA,NA,2.5
,del Cen,ICRS,12,8,21.4976373,-50,43,20.738614,-49.94,-7.19,11,7.86,2.52
,del Leo,ICRS,11,14,6.50142,20,31,25.3853,143.42,-129.88,-20.9,55.82,2.53
,alf Cet,ICRS,3,2,16.77307,4,5,23.0596,-10.41,-76.85,-26.08,13.09,2.53
,zet Cen,ICRS,13,55,32.38565,-47,17,18.1482,-57.37,-44.55,6.5,8.54,2.55
,zet Oph,ICRS,16,37,9.5390545,-10,34,1.529471,15.26,24.79,-9,8.91,2.56
,alf Lep,ICRS,5,32,43.8161188,-17,49,20.24138,3.56,1.18,25.1,1.47,2.57
,gam Crv,ICRS,12,15,48.37081,-17,32,30.9496,-158.61,21.86,-4.2,21.23,2.58
,zet Sgr,ICRS,19,2,36.73024,-29,52,48.2279,10.79,21.11,24.7,36.98,2.585
,tet Aur,ICRS,5,59,43.27012,37,12,45.3047,43.63,-73.79,29.3,19.7,2.62
,bet Lib,ICRS,15,17,0.41382,-9,22,58.4919,-98.1,-19.65,-35.6,17.62,2.62
,bet01 Sco,ICRS,16,5,26.2319826,-19,48,19.630018,-5.2,-24.04,-1,8.07,2.62
,alf Ser,ICRS,15,44,16.0743159,6,25,32.263272,133.84,44.81,2.63,44.1,2.63
,bet Crv,ICRS,12,34,23.2348393,-23,23,48.337453,1.11,-56.56,-7.34,22.39,2.64
,alf Mus,ICRS,12,37,11.0178886,-69,8,8.033239,-40.2,-12.8,13,10.34,2.649
,bet Ari,ICRS,1,54,38.41099,20,48,28.9133,98.74,-110.41,-3.1,55.6,2.65
,alf Col,ICRS,5,39,38.9410319,-34,4,26.794991,1.58,-24.82,35,12.48,2.65
,del Sgr,ICRS,18,20,59.6435424,-29,49,41.165919,32.54,-25.57,-20.4,9.38,2.668
,bet Lup,ICRS,14,58,31.92536,-43,8,2.2699,-35.78,-39.83,0.2,8.52,2.68
,del Cas,ICRS,1,25,48.9514709,60,14,7.022507,296.57,-49.22,6.7,32.81,2.68
,eta Boo,ICRS,13,54,41.07892,18,23,51.7946,-60.95,-356.29,-5.25,87.75,2.68
,mu Vel,ICRS,10,46,46.17877,-49,25,12.9244,63.22,-54.21,6.2,27.84,2.69
,iot Aur,ICRS,4,56,59.6210887,33,9,57.958479,6.79,-14.88,17.78,6.61,2.69
,mu Vel A,ICRS,10,46,46.187828,-49,25,12.93704,74.2,-54.9,NA,NA,2.7
,pi Pup,ICRS,7,17,8.55678,-37,5,50.8962,-10.05,6.47,15.8,4.04,2.7
,ups Sco,ICRS,17,30,45.8371228,-37,17,44.928511,-2.37,-30.09,8,5.66,2.7
,gam Aql,ICRS,19,46,15.5802908,10,36,47.740788,16.99,-2.98,-2.69,8.26,2.72
,iot Cen,ICRS,13,20,35.8128156095,-36,42,44.29649241,-339.615,-82.181,0.1,56.06,2.73
,eta Dra,ICRS,16,23,59.48632848,61,30,51.15513906,-16.394,57.094,-14.73,35.72,2.74
,gam Vir,ICRS,12,41,39.6282288151,-1,26,57.854228847,-605.176,85.701,-19.8,83.19,2.74
,del Oph,ICRS,16,14,20.73853,-3,41,39.5612,-47.54,-142.73,-19.27,19.06,2.75
,bet Oph,ICRS,17,43,28.3526482,4,34,2.295484,-41.45,159.34,-12.12,39.85,2.75
,alf02 Lib,ICRS,14,50,52.71309,-16,2,30.3955,-105.68,-68.4,-10,43.03,2.75
,del Cru,ICRS,12,15,8.7167245,-58,44,56.136936,-35.81,-10.36,22.2,9.45,2.752
,tet Car,ICRS,10,42,57.4019674,-64,23,40.020796,-18.36,12.03,20.6,7.16,2.76
,gam Lup,ICRS,15,35,8.44835,-41,10,0.3247,-15.62,-25.43,2.3,7.75,2.765
,iot Ori,ICRS,5,35,25.9819073,-5,54,35.643537,1.42,-0.46,27.6,1.4,2.77
,bet Her,ICRS,16,30,13.1995466,21,29,22.600778,-99.15,-15.39,-25.91,23.44,2.77
,bet Hyi,ICRS,0,25,45.07036,-77,15,15.286,2219.54,324.09,23.09,134.07,2.79
,bet Eri,ICRS,5,7,50.98549,-5,5,11.2055,-82.82,-75.39,-6,36.5,2.79
,eps Vir,ICRS,13,2,10.5978496,10,57,32.941443,-273.8,19.96,-14.29,29.76,2.79
,zet Her,ICRS,16,41,17.16104,31,36,9.7873,-461.52,342.28,-67.8,93.32,2.8
,bet Dra,ICRS,17,30,25.9616959,52,18,4.999351,-15.89,12.28,-20.83,8.58,2.81
,rho Pup,ICRS,8,7,32.6488235,-24,18,15.567946,-83.35,46.23,45.8,51.33,2.81
,tau Sco,ICRS,16,35,52.952853,-28,12,57.661515,-9.89,-22.83,2,6.88,2.81
,lam Sgr,ICRS,18,27,58.2407185,-25,25,18.114589,-44.76,-185.66,-43.2,41.72,2.81
,alf Tuc,ICRS,22,18,30.0947834,-60,15,34.526307,-70.72,-39.44,42.2,16.33,2.82
,gam Cen A,ICRS,12,41,31.033757,-48,57,35.68434,-193.6,-11.6,NA,NA,2.82
,del Cap,ICRS,21,47,2.4442395,-16,7,38.233507,261.7,-296.7,-3.4,84.27,2.83
,bet Lep,ICRS,5,28,14.7231588,-20,45,33.987791,-5.02,-86.01,-14.2,20.34,2.84
,gam Peg,ICRS,0,13,14.1512308,15,11,0.936759,1.98,-9.28,3.2,8.33,2.84
,alf Hyi,ICRS,1,58,46.1946699,-61,34,11.494778,263.66,26.77,8.7,45.43,2.84
,bet Ara,ICRS,17,25,17.9878053183,-55,31,47.574076,-8.039,-25.927,-0.3,4.56,2.85
,zet Per,ICRS,3,54,7.9224751,31,53,1.081262,5.77,-9.92,20.6,4.34,2.85
,bet TrA,ICRS,15,55,8.5620636,-63,25,50.615531,-188.66,-401.85,0.4,80.79,2.85
,mu Gem,ICRS,6,22,57.62686,22,30,48.8979,56.39,-110.03,54.38,14.08,2.87
,del Cyg,ICRS,19,44,58.4785413,45,7,50.916066,44.07,48.66,-23.6,19.77,2.87
,eta Tau,ICRS,3,47,29.0765529,24,6,18.488347,19.34,-43.67,5.4,8.09,2.87
,alf02 CVn,ICRS,12,56,1.6662171,38,19,6.15411,-235.08,53.54,-4.1,28.41,2.88
,gam Cen B,ICRS,12,41,31.01537,-48,57,34.47666,-193.6,-11.6,NA,NA,2.88
,pi Sgr,ICRS,19,9,45.832926,-21,1,25.010335,-1.36,-36.45,-9.8,6.4,2.88
,zet Her A,ICRS,16,41,17.464944,31,36,6.97284,NA,NA,NA,NA,2.88
,sig Sco,ICRS,16,21,11.3157134,-25,35,34.051476,-10.6,-16.28,-0.4,4.68,2.89
,bet CMi,ICRS,7,27,9.0417373,8,17,21.536745,-51.76,-38.29,22,20.17,2.89
,bet Aqr,ICRS,21,31,33.5317148,-5,34,16.232006,18.77,-8.21,6.45,6.07,2.89
,eps Per,ICRS,3,57,51.2320472,40,0,36.775143,14.06,-23.78,-1,5.11,2.89
,gam TrA,ICRS,15,18,54.5819834,-68,40,46.365362,-66.58,-32.31,-3.6,17.74,2.89
,pi Sco,ICRS,15,58,51.1132378,-26,6,50.788602,-11.42,-26.83,-7.4,5.57,2.91
,gam Per,ICRS,3,4,47.790741,53,30,23.168725,0.51,-5.92,3.13,13.41,2.93
,tau Pup,ICRS,6,49,56.1684595,-50,36,52.443676,34.36,-69.11,34.4,17.92,2.93
